Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Datafile,Chrome 60.0.3112.101,from other\r\n files,2017-08-29 15:49:14,2017-08-29 15:52:15,3m - 0.787s,FAILED
,,,,,,
Test Cases/launch - Iteration 1,Chrome 60.0.3112.101,launch paytm,2017-08-29 15:49:14,2017-08-29 15:52:00,2m - 45.472s,FAILED
openBrowser,Chrome 60.0.3112.101,,2017-08-29 15:49:15,2017-08-29 15:49:24,8.533s,PASSED
"Statement - Mob = com.kms.katalon.core.testdata.TestDataFactory.findTestData(test).getValue(""Mobile"", 2)",Chrome 60.0.3112.101,,2017-08-29 15:49:24,2017-08-29 15:49:25,1.114s,PASSED
maximizeWindow,Chrome 60.0.3112.101,,2017-08-29 15:49:25,2017-08-29 15:49:26,1.487s,PASSED
navigateToUrl,Chrome 60.0.3112.101,,2017-08-29 15:49:26,2017-08-29 15:51:58,2m - 31.303s,PASSED
setText,Chrome 60.0.3112.101,,2017-08-29 15:51:58,2017-08-29 15:51:58,0.530s,PASSED
click,Chrome 60.0.3112.101,,2017-08-29 15:51:58,2017-08-29 15:51:59,0.672s,PASSED
click,Chrome 60.0.3112.101,,2017-08-29 15:51:59,2017-08-29 15:51:59,0.192s,PASSED
verifyTextPresent,Chrome 60.0.3112.101,,2017-08-29 15:51:59,2017-08-29 15:52:00,0.977s,FAILED
,,,,,,
Test Cases/launch - Iteration 2,Chrome 60.0.3112.101,launch paytm,2017-08-29 15:52:00,2017-08-29 15:52:14,13.535s,FAILED
openBrowser,Chrome 60.0.3112.101,,2017-08-29 15:52:00,2017-08-29 15:52:07,7.070s,PASSED
"Statement - Mob = com.kms.katalon.core.testdata.TestDataFactory.findTestData(test).getValue(""Mobile"", 2)",Chrome 60.0.3112.101,,2017-08-29 15:52:07,2017-08-29 15:52:07,0.049s,PASSED
maximizeWindow,Chrome 60.0.3112.101,,2017-08-29 15:52:07,2017-08-29 15:52:09,1.457s,PASSED
navigateToUrl,Chrome 60.0.3112.101,,2017-08-29 15:52:09,2017-08-29 15:52:11,2.248s,PASSED
setText,Chrome 60.0.3112.101,,2017-08-29 15:52:11,2017-08-29 15:52:11,0.392s,PASSED
click,Chrome 60.0.3112.101,,2017-08-29 15:52:11,2017-08-29 15:52:12,0.609s,PASSED
click,Chrome 60.0.3112.101,,2017-08-29 15:52:12,2017-08-29 15:52:12,0.203s,PASSED
verifyTextPresent,Chrome 60.0.3112.101,,2017-08-29 15:52:12,2017-08-29 15:52:14,1.452s,FAILED
